"Name","Role","Type","Missing","Minimum","Maximum","Average","Deviation","Least","Most","Values","Earliest Date","Latest Date","Duration"
"ï»¿edad",,"integer",0,14.0,80.0,30.824557917742897,12.314022574112677,,,,,,
"ultima_vez_navego_internet",,"integer",0,1.0,3.0,1.1998807868070733,0.5173692027804789,,,,,,
"tiene_telefono_fijo",,"integer",0,0.0,1.0,0.21219948340949732,0.40890596009941027,,,,,,
"tiene_computadora",,"integer",0,0.0,1.0,0.5275183787005762,0.4992917687881153,,,,,,
"tipo_computadora_ultimo",,"integer",0,0.0,3.0,0.9318497913769124,1.0092600351001588,,,,,,
"dias_uso_computadora_semana",,"integer",0,0.0,7.0,2.1565666600437114,2.596340271310517,,,,,,
"usa_computadora_como_herramienta_trabajo",,"integer",0,0.0,1.0,0.3457182594873833,0.47564913148473703,,,,,,
"usa_computadora_musica_videos",,"integer",0,0.0,1.0,0.16212994238029008,0.3686065926628925,,,,,,
"usa_computadora_juegos",,"integer",0,0.0,1.0,0.08424398966818995,0.2777809769239718,,,,,,
"usa_computadora_internet",,"integer",0,0.0,1.0,0.18835684482416054,0.39103570821690276,,,,,,
"usa_computadora_estudio",,"integer",0,0.0,1.0,0.14961255712298827,0.3567266793850071,,,,,,
"tiene_tv",,"integer",0,0.0,1.0,0.9646334194317504,0.18472294203417794,,,,,,
"mira_noticias_tv",,"integer",0,0.0,1.0,0.6932247168686668,0.46120111790157325,,,,,,
"mira_deportes_tv",,"integer",0,0.0,1.0,0.40313928074706934,0.49057702619831717,,,,,,
"mira_salud_educacion_tv",,"integer",0,0.0,1.0,0.1408702563083648,0.3479222304387857,,,,,,
"mira_entretenimiento_tv",,"integer",0,0.0,1.0,0.6995827538247567,0.4584849947576601,,,,,,
"tiene_tv_cable",,"integer",0,0.0,1.0,0.43949930458970793,0.49637548335755977,,,,,,
"tiene_tv_satelital",,"integer",0,0.0,1.0,0.11265646731571627,0.3162038164597606,,,,,,
"tiene_radio",,"integer",0,0.0,1.0,0.8144247963441288,0.38880211242772644,,,,,,
"tiene_internet_fijo",,"integer",0,0.0,3.0,2.2469699980131135,1.2108754907043144,,,,,,
"usa_internet_contactar_amigos",,"integer",0,0.0,1.0,0.06179217166699781,0.24080162007931483,,,,,,
"usa_internet_buscar_info",,"integer",0,0.0,1.0,0.05682495529505265,0.23153084192015833,,,,,,
"usa_internet_compra_venta",,"integer",0,0.0,1.0,0.005563282336578581,0.07438703957219124,,,,,,
"usa_internet_fines_academicos",,"integer",0,0.0,1.0,0.02384263858533678,0.1525738916150972,,,,,,
"usa_internet_para_trabajo",,"integer",0,0.0,1.0,0.04351281541823962,0.20402872657682863,,,,,,
"usa_internet_ver_noticias",,"integer",0,0.0,1.0,0.007550168885356646,0.08657166359537168,,,,,,
"usa_internet_descargar_archivos",,"integer",0,0.0,1.0,0.026226902443870454,0.15982530262876218,,,,,,
"usa_internet_jugar",,"integer",0,0.0,1.0,0.005563282336578581,0.07438703957219124,,,,,,
"usa_internet_musica_video",,"integer",0,0.0,1.0,0.014305583151202067,0.11875914993877287,,,,,,
"usa_internet_rrss",,"integer",0,0.0,1.0,0.03179018478044904,0.17545850135731492,,,,,,
"usa_internet_correo_electronico",,"integer",0,0.0,1.0,0.004967216371945162,0.07031020804878017,,,,,,
"tiene_celular",,"integer",0,0.0,1.0,0.980528511821975,0.13818879662702815,,,,,,
"usa_celular_llamadas",,"integer",0,0.0,1.0,0.9320484800317902,0.2516876976975075,,,,,,
"usa_celular_sms",,"integer",0,0.0,1.0,0.5350685475859328,0.49881823804740816,,,,,,
"usa_celular_musica",,"integer",0,0.0,1.0,0.4806278561494139,0.49967422136720285,,,,,,
"usa_celular_videos",,"integer",0,0.0,1.0,0.31472282932644546,0.46445153697251,,,,,,
"usa_celular_juegos",,"integer",0,0.0,1.0,0.23703556526922312,0.4253065318007847,,,,,,
"usa_celular_conect_internet",,"integer",0,0.0,1.0,0.9318497913769124,0.252028526299734,,,,,,
"usa_celular_fotos",,"integer",0,0.0,1.0,0.3896284522153785,0.48771444779966927,,,,,,
"prepago_postpago",,"integer",0,0.0,3.0,1.0836479237035566,0.36700789925588356,,,,,,
"empresa_telco",,"integer",0,0.0,3.0,1.785217564077091,0.7350551533397874,,,,,,
"gasto_mes_telco",,"integer",0,0.0,900.0,90.58474071130539,77.81614591587048,,,,,,
"so_celular",,"integer",0,0.0,4.0,1.0600039737730975,0.40951491329759987,,,,,,
"tiene_internet_celular",,"integer",0,0.0,1.0,0.9290681502086231,0.2567364772773844,,,,,,
"pago_internet_mes",,"integer",0,0.0,350.0,68.51579574806279,46.82653481654271,,,,,,
"usa_internet_cel_contactar_amigos",,"integer",0,0.0,1.0,0.7631631233856547,0.42518359521674265,,,,,,
"usa_internet_cel_buscar_info",,"integer",0,0.0,1.0,0.404530101331214,0.490849640088702,,,,,,
"usa_internet_cel_comprar",,"integer",0,0.0,1.0,0.03039936419630439,0.17170061273318218,,,,,,
"usa_internet_cel_fin_academico",,"integer",0,0.0,1.0,0.12636598450228492,0.3322943899273883,,,,,,
"usa_internet_cel_trabajo",,"integer",0,0.0,1.0,0.21219948340949732,0.40890596009941027,,,,,,
"usa_internet_cel_ver_noticias",,"integer",0,0.0,1.0,0.1408702563083648,0.3479222304387857,,,,,,
"usa_internet_cel_descargar_archivos",,"integer",0,0.0,1.0,0.24915557321676932,0.432567048017574,,,,,,
"usa_internet_cel_jugar",,"integer",0,0.0,1.0,0.1295450029803298,0.3358355317462877,,,,,,
"usa_internet_cel_musica_video",,"integer",0,0.0,1.0,0.27995231472282933,0.449020128309515,,,,,,
"usa_internet_cel_rrss",,"integer",0,0.0,1.0,0.5771905424200278,0.4940547723665219,,,,,,
"usa_internet_cel_correo_electr",,"integer",0,0.0,1.0,0.10371547784621499,0.304921384928216,,,,,,
"dias_uso_internet_semana",,"integer",0,1.0,7.0,5.11682892906815,2.0710407948920997,,,,,,
"busca_noticias_internet",,"integer",0,0.0,1.0,0.5330816610371548,0.4989539740804341,,,,,,
"busca_bienes_servicios_internet",,"integer",0,0.0,1.0,0.07828333002185575,0.2686436105725732,,,,,,
"busca_trabajo_internet",,"integer",0,0.0,1.0,0.1257699185376515,0.3316228228794638,,,,,,
"busca_serv_salud_internet",,"integer",0,0.0,1.0,0.09477448837671369,0.2929323028803897,,,,,,
"busca_ciencia_tecnologia_internet",,"integer",0,0.0,1.0,0.25273196900456985,0.4346217347880754,,,,,,
"busca_serv_gobierno_internet",,"integer",0,0.0,1.0,0.03159149612557123,0.17492727998285673,,,,,,
"busca_entretenimiento_internet",,"integer",0,0.0,1.0,0.3846612358434333,0.48656346742362633,,,,,,
"busca_turismo_internet",,"integer",0,0.0,1.0,0.04927478640969601,0.21646267948029568,,,,,,
"busca_info_educativa_interent",,"integer",0,0.0,1.0,0.3113451221935227,0.46308956611929747,,,,,,
"busca_negocios_interent",,"integer",0,0.0,1.0,0.05940790780846414,0.23641005255735795,,,,,,
"busca_politica_interent",,"integer",0,0.0,1.0,0.01748460162924697,0.13108128876401628,,,,,,
"busca_arte_cultura_internet",,"integer",0,0.0,1.0,0.06457381283528711,0.24579674430883797,,,,,,
"realizo_postgrado_internet",,"integer",0,0.0,1.0,0.048082654480429164,0.21396216662570364,,,,,,
"trabajo_alguna_vez",,"integer",0,0.0,1.0,0.7297834293661832,0.4441157109285406,,,,,,
"nivel_uso_internet_para_trabajo",,"integer",0,0.0,3.0,0.9503278362805484,1.2352131725703073,,,,,,
"trabajo_relacionado_tecnologias",,"integer",0,0.0,1.0,0.1627260083449235,0.3691521779941,,,,,,
"realizo_compra_por_internet",,"integer",0,0.0,1.0,0.10649711901450427,0.3085034727976085,,,,,,
"realizo_oferta_por_internet",,"integer",0,0.0,1.0,0.06795151996820982,0.2516876976975075,,,,,,
"consulta_movimientos_bancarios",,"integer",0,0.0,1.0,0.1561692827339559,0.3630518232230906,,,,,,
"realizo_transferencias_bancarias",,"integer",0,0.0,1.0,0.09060202662427976,0.2870708505978665,,,,,,
"realizo_pago_servicios_banco",,"integer",0,0.0,1.0,0.08404530101331215,0.27748330908116714,,,,,,
"usa_rrss",,"integer",0,0.0,1.0,0.9429763560500696,0.2319108319587578,,,,,,
"usa_facebook",,"integer",0,0.0,1.0,0.8672759785416253,0.33930993332893267,,,,,,
"usa_twitter",,"integer",0,0.0,1.0,0.1444466520961653,0.3515769844272407,,,,,,
"usa_whatsapp",,"integer",0,0.0,1.0,0.8611166302404133,0.3458591421545105,,,,,,
"usa_telegram",,"integer",0,0.0,1.0,0.05146036161335188,0.2209567676090822,,,,,,
"usa_instagram",,"integer",0,0.0,1.0,0.13014106894496325,0.3364920028959486,,,,,,
"usa_youtube",,"integer",0,0.0,1.0,0.3016093781045102,0.4590022020318228,,,,,,
"usa_skype",,"integer",0,0.0,1.0,0.030598052851182198,0.17224316140162427,,,,,,
"usa_snapchat",,"integer",0,0.0,1.0,0.034571825948738324,0.18271083074597372,,,,,,
"usa_line",,"integer",0,0.0,1.0,0.010927876018279357,0.10397406161476731,,,,,,
"usa_rrss_conectar_amigos",,"integer",0,0.0,1.0,0.9036360023842639,0.29511909871060793,,,,,,
"usa_rrss_conocer_gente",,"integer",0,0.0,1.0,0.41525928869461554,0.49281565196127386,,,,,,
"usa_rrss_temas_politicos",,"integer",0,0.0,1.0,0.1595469898668786,0.3662217848448283,,,,,,
"usa_rrss_noticias",,"integer",0,0.0,1.0,0.45281144446652094,0.4978177173843978,,,,,,
"usa_rrss_compartir_contenido",,"integer",0,0.0,1.0,0.362408106497119,0.48074358097606773,,,,,,
"usa_rrss_debates",,"integer",0,0.0,1.0,0.03278362805483807,0.17808751564756414,,,,,,
"usa_rrss_videos_fotos",,"integer",0,0.0,1.0,0.47426981919332406,0.499387132657837,,,,,,
"usa_rrss_negocios",,"integer",0,0.0,1.0,0.06318299225114246,0.24331597695000806,,,,,,
"usa_rrss_causa_demanda_social",,"integer",0,0.0,1.0,0.02940592092191536,0.16895823353351916,,,,,,
"usa_rrss_comprar_vender_productos",,"integer",0,0.0,1.0,0.037552155771905425,0.1901293606981971,,,,,,
"usa_rrss_seguir_cuentas",,"integer",0,0.0,1.0,0.08464136697794555,0.2783749321959119,,,,,,
"cant_dias_usa_rrss",,"integer",0,0.0,7.0,4.857142857142857,2.280433016883502,,,,,,
"apoyo_causa_social_rrss",,"integer",0,0.0,1.0,0.17365388436320287,0.37884921795047344,,,,,,
"pertenece_grupo_o_comunidad",,"integer",0,0.0,1.0,0.26485197695211604,0.44129819929395286,,,,,,
"comunidad_videojuegos",,"integer",0,0.0,1.0,0.052652493542618715,0.22336096585439855,,,,,,
"comunidad_anime",,"integer",0,0.0,1.0,0.027419034373137294,0.16331726931460916,,,,,,
"comunidad_sodtware_libre",,"integer",0,0.0,1.0,0.0065567256109676135,0.08071573218810923,,,,,,
"comunidad_tecnologia",,"integer",0,0.0,1.0,0.03318100536459368,0.17912677480358083,,,,,,
"comunidad_actividades_politicas",,"integer",0,0.0,1.0,0.017285912974369162,0.13034755848814936,,,,,,
"comunidad_cultura",,"integer",0,0.0,1.0,0.03814822173653885,0.19157303263659523,,,,,,
"comudad_profesional_estudio",,"integer",0,0.0,1.0,0.07927677329624479,0.27019709855902135,,,,,,
"comunidad_deportes",,"integer",0,0.0,1.0,0.0584144645340751,0.23454881230806435,,,,,,
"comunidad_educacion",,"integer",0,0.0,1.0,0.05940790780846414,0.23641005255735795,,,,,,
"comunidad_ecologia",,"integer",0,0.0,1.0,0.012517385257301807,0.1111897330809159,,,,,,
"comunidad_musica",,"integer",0,0.0,1.0,0.0584144645340751,0.23454881230806435,,,,,,
"realizo_llamada_voz_internet",,"integer",0,0.0,1.0,0.6173256507053447,0.4860880971258474,,,,,,
"prefiere_medio_para_noticias_nacionales",,"integer",0,1.0,8.0,1.8893304192330618,1.6973605388338404,,,,,,
"prefiere_medio_para_noticias_internacionales",,"integer",0,1.0,8.0,2.3332008742300814,1.9508172706415272,,,,,,
"prefiere_medio_ciencia_tecnologia",,"integer",0,1.0,8.0,2.818398569441685,2.0911282189844904,,,,,,
"prefiere_medio_para_entretenimiento",,"integer",0,1.0,8.0,2.499900655672561,2.1376633320357845,,,,,,
"prefiere_medio_para_ofertas_laborales",,"integer",0,1.0,8.0,2.4279753626067953,1.878045542950452,,,,,,
"cree_medio_rapido",,"integer",0,1.0,7.0,2.9078084641366977,2.187423545216703,,,,,,
"cree_medio_veridico",,"integer",0,1.0,7.0,2.3649910590105305,1.9213733529241623,,,,,,
"cree_medio_serio",,"integer",0,1.0,7.0,2.22193522749851,1.66089278856408,,,,,,
"cree_medio_claro",,"integer",0,1.0,7.0,2.264653288297238,1.761036164989648,,,,,,
"cree_medio_imparcial",,"integer",0,1.0,7.0,2.7879992052453804,2.133035408532503,,,,,,
"cree_medio_profundo",,"integer",0,1.0,7.0,2.5817603814822174,2.0306967408705727,,,,,,
"cree_medio_participativo",,"integer",0,1.0,7.0,3.890125173852573,2.271787255289325,,,,,,
"edad_uso_computadora_primera_vez",,"integer",0,2.0,63.0,18.10053645936817,8.716898876536305,,,,,,
"edad_uso_internet_primera_ve",,"integer",0,1.0,80.0,20.806675938803895,9.956013111502125,,,,,,
"sexo",,"integer",0,0.0,1.0,0.5032783628054838,0.5000389307208277,,,,,,
"nivel_instruccion",,"integer",0,1.0,8.0,4.086230876216968,1.9439981316950257,,,,,,
"estado_civil",,"integer",0,1.0,4.0,1.5529505265249355,0.6554981304492616,,,,,,
"primer_idioma",,"integer",0,1.0,5.0,1.1343135306973973,0.49864762522566525,,,,,,
"categoria_ocupacional",,"integer",0,1.0,10.0,4.024836081859726,2.401720678960633,,,,,,
"nivel_instruccion_jefe_hogar",,"integer",0,1.0,8.0,3.835684482416054,2.0911802387003706,,,,,,
"estabilidad_laboral_jefe_hogar",,"integer",0,1.0,5.0,1.4985098350884165,0.9775133542124045,,,,,,
"ingreso_mensual_prom_hogar",,"integer",0,1.0,8.0,2.3987681303397577,1.1867271028736028,,,,,,
"tiene_agua_potable",,"integer",0,0.0,1.0,0.9493343930061593,0.21933572852534686,,,,,,
"tiene_alcantarillado",,"integer",0,0.0,1.0,0.7532286906417643,0.4311753342604569,,,,,,
"tiene_energia_electrica",,"integer",0,0.0,1.0,0.9680111265646731,0.17598789488159525,,,,,,
"tiene_lavadora",,"integer",0,0.0,1.0,0.3385654679117822,0.47326883988795176,,,,,,
"tiene_microondas",,"integer",0,0.0,1.0,0.23345916948142262,0.423073928831148,,,,,,
"tiene_calefon",,"integer",0,0.0,1.0,0.43055831512020665,0.4952035704027274,,,,,,
"tiene_tarjeta_credto",,"integer",0,0.0,1.0,0.17047486588515795,0.37608681014628054,,,,,,
"tiene_casa_propia",,"integer",0,0.0,1.0,0.6932247168686668,0.46120111790157325,,,,,,
"cant_banios",,"integer",0,0.0,15.0,1.4627458772104114,0.8615696350756855,,,,,,
"tiene_automovil_reciente",,"integer",0,0.0,1.0,0.14245976554738723,0.3495558015066495,,,,,,
"viajo_extranjero_con_familia",,"integer",0,0.0,1.0,0.0522551162328631,0.22256316176740842,,,,,,
"cant_personas_convive",,"integer",0,1.0,12.0,4.500099344327439,1.6745458268491114,,,,,,
"departamento",,"integer",0,1.0,9.0,4.970792767732963,2.575208426005974,,,,,,
"tipo_localidad",,"integer",0,1.0,3.0,1.6820981521955096,0.8129219026302568,,,,,,
